DN;D;T;R;W;H;C;B;Mass_45;Mass_60;Mass_90;Mass_180;type;;;;;;;;;;;;;;;;;;
15;21,3;2,0;28;;15;56;38;2,02;;0,04;0,08;1;;;;;;;;;;;;;;;;;;
15;21,3;3,2;28;;15;56;38;0,03;;0,06;0,12;1;;;;;;;;;;;;;;;;;;
15;21,3;4,0;28;;15;56;38;0,04;;0,07;0,14;1;;;;;;;;;;;;;;;;;;
20;26,9;2,0;29;;14;58;43;0,03;;0,06;0,11;1;;;;;;;;;;;;;;;;;;
20;26,9;3,2;29;;14;58;43;0,04;;0,08;0,17;1;;;;;;;;;;;;;;;;;;
20;26,9;4,0;29;;14;58;43;0,06;;0,10;0,20;1;;;;;;;;;;;;;;;;;;
25;33,7;2,3;38;;18;76;56;0,05;;0,11;0,21;1;;;;;;;;;;;;;;;;;;
25;33,7;3,2;38;;18;76;56;0,08;;0,16;0,32;1;;;;;;;;;;;;;;;;;;
25;33,7;4,5;38;;18;76;56;0,09;;0,19;0,38;1;;;;;;;;;;;;;;;;;;
32;42,4;2,6;48;;23;96;69;0,10;;0,19;0,39;1;;;;;;;;;;;;;;;;;;
32;42,4;3,6;48;;23;96;69;0,13;;0,26;0,52;1;;;;;;;;;;;;;;;;;;
32;42,4;5,0;48;;23;96;69;0,17;;0,35;0,60;1;;;;;;;;;;;;;;;;;;
40;48,3;2,6;57;;29;114;82;0,13;;0,26;0,53;1;;;;;;;;;;;;;;;;;;
40;48,3;3,6;57;;29;114;82;0,18;;0,36;0,72;1;;;;;;;;;;;;;;;;;;
40;48,3;5,0;57;;29;114;82;0,24;;0,47;0,95;1;;;;;;;;;;;;;;;;;;
50;60,3;2,9;76;;35;152;106;0,25;;0,50;0,99;1;;;;;;;;;;;;;;;;;;
50;60,3;4,0;76;;35;152;106;0,33;;0,67;1,30;1;;;;;;;;;;;;;;;;;;
50;60,3;5,6;76;;35;152;106;0,50;;0,89;1,80;1;;;;;;;;;;;;;;;;;;
65;76,1;2,9;95;;44;1900;133;0,40;;0,79;1,60;1;;;;;;;;;;;;;;;;;;
65;76,1;5,0;95;;44;1900;133;0,72;;1,50;2,90;1;;;;;;;;;;;;;;;;;;
65;76,1;7,1;95;;44;1900;133;0,90;;1,80;3,60;1;;;;;;;;;;;;;;;;;;
80;88,9;3,2;114;;51;228;159;0,60;;1,20;2,40;1;;;;;;;;;;;;;;;;;;
80;88,9;5,6;114;;51;228;159;1,00;;2,10;4,10;1;;;;;;;;;;;;;;;;;;
80;88,9;8,0;114;;51;228;159;1,40;;2,80;5,70;1;;;;;;;;;;;;;;;;;;
100;114,3;3,6;152;;64;304;210;1,20;;2,40;4,70;1;;;;;;;;;;;;;;;;;;
100;114,3;6,3;152;;64;304;210;2,00;;4,00;8,00;1;;;;;;;;;;;;;;;;;;
100;114,3;8,8;152;;64;304;210;2,80;;5,40;11,00;1;;;;;;;;;;;;;;;;;;
125;139,7;4,0;190;;79;380;260;2,00;;4,00;8,00;1;;;;;;;;;;;;;;;;;;
125;139,7;6,3;190;;79;380;260;3,10;;6,20;12,00;1;;;;;;;;;;;;;;;;;;
125;139,7;10,0;190;;79;380;260;4,80;;9,60;19,00;1;;;;;;;;;;;;;;;;;;
150;168,3;4,5;229;;95;457;313;3,20;;6,50;13,00;1;;;;;;;;;;;;;;;;;;
150;168,3;7,1;229;;95;457;313;5,10;;10,00;20,00;1;;;;;;;;;;;;;;;;;;
150;168,3;11,0;229;;95;457;313;7,70;;15,00;31,00;1;;;;;;;;;;;;;;;;;;
200;219,1;6,3;305;;127;610;414;8,00;;16,00;32,00;1;;;;;;;;;;;;;;;;;;
200;219,1;8,0;305;;127;610;414;9,90;;20,00;40,00;1;;;;;;;;;;;;;;;;;;
200;219,1;12,5;305;;127;610;414;14,00;;31,00;61,00;1;;;;;;;;;;;;;;;;;;
250;273,0;6,3;381;;159;762;518;12,00;;25,00;50,00;1;;;;;;;;;;;;;;;;;;
250;273,0;10,0;381;;159;762;518;19,00;;39,00;78,00;1;;;;;;;;;;;;;;;;;;
300;323,9;7,1;457;;190;914;619;20,00;;40,00;80,00;1;;;;;;;;;;;;;;;;;;
300;323,9;10,0;457;;190;914;619;28,00;;56,00;111,00;1;;;;;;;;;;;;;;;;;;
350;355,6;8,0;533;;222;1066;711;24,00;;57,00;114,00;1;;;;;;;;;;;;;;;;;;
350;355,6;11,0;533;;222;1066;711;39,00;;78,00;156,00;1;;;;;;;;;;;;;;;;;;
400;406,4;8,8;610;;254;1220;813;41,00;;82,00;165,00;1;;;;;;;;;;;;;;;;;;
400;406,4;12,5;610;;254;1220;813;58,00;;117,00;234,00;1;;;;;;;;;;;;;;;;;;
450;457,0;10,0;686;;286;1372;914;59,00;;119,00;237,00;1;;;;;;;;;;;;;;;;;;
500;508,0;11,0;762;;318;1524;1016;81,00;;162,00;323,00;1;;;;;;;;;;;;;;;;;;
600;610,0;12,5;914;;381;1828;1219;133,00;;266,00;531,00;1;;;;;;;;;;;;;;;;;;
25;32;2,0;38;22;18;76;56;0,05;0,07;0,10;0,20;2;;;;;;;;;;;;;;;;;;
25;32;2,5;38;22;18;76;56;0,10;0,13;0,20;0,40;2;;;;;;;;;;;;;;;;;;
25;32;3,0;38;22;18;76;56;0,10;0,13;0,20;0,40;2;;;;;;;;;;;;;;;;;;
25;32;3,5;38;22;18;76;56;0,10;0,13;0,20;0,40;2;;;;;;;;;;;;;;;;;;
32;38;2,0;48;28;23;96;69;0,10;0,13;0,20;0,40;2;;;;;;;;;;;;;;;;;;
32;38;2,5;48;28;23;96;69;0,10;0,13;0,20;0,40;2;;;;;;;;;;;;;;;;;;
32;38;3,0;48;28;23;96;69;0,10;0,13;0,20;0,40;2;;;;;;;;;;;;;;;;;;
32;38;3,5;48;28;23;96;69;0,15;0,20;0,30;0,60;2;;;;;;;;;;;;;;;;;;
32;38;4,0;48;28;23;96;69;0,15;0,20;0,30;0,60;2;;;;;;;;;;;;;;;;;;
40;45;2,5;60;35;25;120;83;0,15;0,20;0,30;0,60;2;;;;;;;;;;;;;;;;;;
40;45;3,0;60;35;25;120;83;0,15;0,20;0,30;0,60;2;;;;;;;;;;;;;;;;;;
40;45;3,5;60;35;25;120;83;0,20;0,27;0,40;0,80;2;;;;;;;;;;;;;;;;;;
40;45;4,0;60;35;25;120;83;0,20;0,27;0,40;0,80;2;;;;;;;;;;;;;;;;;;
40;45;5,0;60;35;25;120;83;0,25;0,33;0,50;1,00;2;;;;;;;;;;;;;;;;;;
50;57;2,5;75;43;30;150;104;0,20;0,27;0,40;0,80;2;;;;;;;;;;;;;;;;;;
50;57;3,0;75;43;30;150;104;0,25;0,33;0,50;1,00;2;;;;;;;;;;;;;;;;;;
50;57;3,5;75;43;30;150;104;0,30;0,40;0,60;1,20;2;;;;;;;;;;;;;;;;;;
50;57;4,0;75;43;30;150;104;0,35;0,47;0,70;1,40;2;;;;;;;;;;;;;;;;;;
50;57;4,5;75;43;30;150;104;0,35;0,47;0,70;1,40;2;;;;;;;;;;;;;;;;;;
50;57;5,0;75;43;30;150;104;0,40;0,53;0,80;1,60;2;;;;;;;;;;;;;;;;;;
50;57;5,5;75;43;30;150;104;0,45;0,60;0,90;1,80;2;;;;;;;;;;;;;;;;;;
50;57;6,0;75;43;30;150;104;0,50;0,67;1,00;2,00;2;;;;;;;;;;;;;;;;;;
65;76;3,0;100;57;41;200;138;0,40;0,53;0,80;1,60;2;;;;;;;;;;;;;;;;;;
65;76;3,5;100;57;41;200;138;0,50;0,67;1,00;2,00;2;;;;;;;;;;;;;;;;;;
65;76;4,0;100;57;41;200;138;0,55;0,73;1,10;2,20;2;;;;;;;;;;;;;;;;;;
65;76;4,5;100;57;41;200;138;0,65;0,87;1,30;2,60;2;;;;;;;;;;;;;;;;;;
