dn;2,5;2,6;2,8;3;3,2;3,5;4;4,5;5;5,5;6;7;8;9;10;11;12;14;16;17;18;20;22;25;28;30;32;36
20;1,08;1,12;1,19;1,26;1,33;1,42;1,58;;;;;;;;;;;;;;;;;;;;;
21,3;1,16;1,20;1,28;1,35;1,43;1,54;1,71;;;;;;;;;;;;;;;;;;;;;
22;1,20;1,24;1,33;1,41;1,48;1,60;1,78;1,94;2,10;2,24;2,37;2,59;2,76;;;;;;;;;;;;;;;
25;1,39;1,44;1,53;1,63;1,72;1,86;2,07;2,27;2,47;2,64;2,81;3,11;3,35;;;;;;;;;;;;;;;
26,9;1,50;1,56;1,66;1,77;1,87;2,02;2,26;2,49;2,70;2,90;3,09;3,44;3,73;;;;;;;;;;;;;;;
28;1,57;1,63;1,74;1,85;1,96;2,11;2,37;2,61;2,84;3,05;3,26;3,63;3,95;;;;;;;;;;;;;;;
30;1,70;1,76;1,88;2,00;2,11;2,29;2,56;2,83;3,08;3,32;3,55;3,97;4,34;;;;;;;;;;;;;;;
31,8;1,81;1,87;2,00;2,13;2,26;2,44;2,74;3,03;3,30;3,57;3,82;4,28;4,70;;;;;;;;;;;;;;;
32;1,82;1,89;2,02;2,15;2,27;2,46;2,76;3,05;3,33;3,59;3,85;4,32;4,73;;;;;;;;;;;;;;;
33,7;1,92;1,99;2,13;2,27;2,41;2,61;2,93;3,24;3,54;3,82;4,10;4,61;5,07;;;;;;;;;;;;;;;
35;2,00;2,08;2,22;2,37;2,51;2,72;3,06;3,38;3,70;4,00;4,29;4,83;5,33;;;;;;;;;;;;;;;
38;2,19;2,27;2,43;2,59;2,75;2,98;3,35;3,72;4,07;4,41;4,73;5,35;5,92;;;;;;;;;;;;;;;
40;2,31;2,40;2,57;2,74;2,90;3,15;3,55;3,94;4,32;4,68;5,03;5,70;6,31;;;;;;;;;;;;;;;
42;2,44;2,53;2,71;2,89;3,06;3,32;3,75;4,16;4,56;4,95;5,33;6,04;6,71;7,32;7,89;;;;;;;;;;;;;
