dn;Execution;mass;S;h;h1;L;B;Qy;Pz_0_2;Pz0_5
57;А11 / АС11;1,3;3;100;110;170;50/56;2,5;5,5;8,0
57;А12 / АС12;2,6;3;100;110;340;50/56;2,5;15,0;15,0
57;А21 / АС21;1,8;3;150;160;170;50/56;2,5;5,5;8,0
57;А22 / АС22;3,6;3;150;160;340;50/56;2,5;15,0;15,0
76;А11 / АС11;1,3;3;100;107;170;50/56;3,0;5,5;8,0
76;А12 / АС12;2,5;3;100;107;340;50/56;3,0;15,0;15,0
76;А21 / АС21;1,8;3;150;157;170;50/56;3,0;5,5;8,0
76;А22 / АС22;3,5;3;150;157;340;50/56;3,0;15.0;15,0
89;А11 / АС11;1,2;3;100;106;170;50/56;5,0;5,5;8,0
89;А12 / АС12;2,5;3;100;106;340;50/56;5,0;15,0;15,0
89;А21 / АС21;1,7;3;150;156;170;50/56;5,0;5,5;8,0
89;А22 / АС22;3,5;3;150;156;340;50/56;5,0;15,0;15,0
108;А11 / АС11;1,5;3;100;115;170;80/86;6,0;10,0;13,0
108;А12 / АС12;3;3;100;115;340;80/86;6,0;30,0;45,0
108;А21 / АС21;2,1;3;150;165;170;80/86;6,0;8,0;10,0
108;А22 / АС22;4,2;3;150;165;340;80/86;6,0;25,0;38,0
133;А11 / АС11;1,5;3;100;111;170;80/86;8,0;10,0;13,0
133;А12 / АС12;3;3;100;111;340;80/86;8,0;30,0;45,0
133;А21 / АС21;2;3;150;161;170;80/86;8,0;8,0;10,0
133;А22 / АС22;4,1;3;150;161;340;80/86;8,0;25,0;38,0
159;А11 / АС11;1,5;3;100;109;170;80/86;10,0;10,0;13,0
159;А12 / АС12;3;3;100;109;340;80/86;10,0;30,0;45,0
159;А21 / АС21;2;3;150;159;170;80/86;10,0;8,0;10,0
159;А22 / АС22;4,1;3;150;159;340;80/86;10,0;25,0;38,0
219;А11 / АС11;2,7;3;100;159;170;200/206;25,0;─;─
219;А12 / АС12;6,1;3;100;159;340;200/206;25,0;60,0;85,0
219;А13 / АС13;11;3;100;159;680;200/206;25,0;80,0;110,0
219;Б12 / БС12;7;3;104;159;340;200/206;25,0;60,0;85,0
219;Б13 / БС13;11,9;3;104;159;680;200/206;25,0;80,0;110,0
219;А21 / АС21;3,4;3;150;209;170;200/206;25,0;─;─
219;А22 / АС22;7,3;3;150;209;340;200/206;25,0;50,0;70,0
219;А23 / АС23;13,3;3;150;209;680;200/206;25,0;70,0;95,0
219;Б22 / БС22;8,2;3;154;209;340;200/206;25,0;50,0;70,0
219;Б23 / БС23;14,2;3;154;209;680;200/206;25,0;70,0;95,0
273;А11 / АС11;2,6;3;100;140;170;200/206;25,0;─;─
273;А12 / АС12;7,1;4;100;140;340;200/208;40,0;60,0;85,0
273;А13 / АС13;13,3;4;100;140;680;200/208;40,0;80,0;110,0
273;Б12 / БС12;8,1;4;100;140;340;200/208;40,0;60,0;85,0
273;Б13 / БС13;14,3;4;100;140;680;200/208;40,0;80,0;110,0
273;А21 / АС21;3,2;3;150;190;170;200/206;25,0;─;─
273;А22 / АС22;9;4;150;190;340;200/208;40,0;50,0;70,0
273;А23 / АС23;16,6;4;150;190;680;200/208;40,0;70,0;95,0
273;Б22 / БС22;10;4;150;190;340;200/208;40,0;50,0;70,0
273;Б23 / БС23;17,6;4;150;190;680;200/208;40,0;70,0;95,0
325;А11 / АС11;3,3;4;100;131;170;200/208;50,0;─;─
325;А12 / АС12;6,9;4;100;131;340;200/208;70,0;60,0;85,0
325;А13 / АС13;12,8;4;100;131;680;200/208;70,0;80,0;110,0
325;Б12 / БС12;7,9;4;100;131;340;200/208;70,0;60,0;85,0
325;Б13 / БС13;13,8;4;100;131;680;200/208;70,0;80,0;110,0
325;А21 / АС21;4,2;4;150;181;170;200/208;50,0;─;─
325;А22 / АС22;8,7;4;150;181;340;200/208;70,0;50,0;70,0
325;А23 / АС23;16,2;4;150;181;680;200/208;70,0;70,0;95,0
325;Б22 / БС22;9,7;4;150;181;340;200/208;70,0;50,0;70,0
325;Б23 / БС23;17,2;4;150;181;680;200/208;70,0;70,0;95,0
377;А11 / АС11;3,2;4;100;126;170;200/208;50,0;─;─
377;А12 / АС12;6,7;4;100;126;340;200/208;70,0;60,0;85,0
377;А13 / АС13;12,5;4;100;126;680;200/208;70,0;80,0;110,0
377;Б12 / БС12;7,7;4;100;126;340;200/208;70,0;60,0;85,0
377;Б13 / БС13;13,5;4;100;126;680;200/208;70,0;80,0;110,0
377;А21 / АС21;4,1;4;150;176;170;200/208;50,0;─;─
377;А22 / АС22;8,6;4;150;176;340;200/208;70,0;50,0;70,0
377;А23 / АС23;15,7;4;150;176;680;200/208;70,0;70,0;95,0
377;Б22 / БС22;9,6;4;150;176;340;200/208;70,0;50,0;70,0
377;Б23 / БС23;16,7;4;150;176;680;200/208;70,0;70,0;95,0
426;А11 / АС11;4,6;6;100;122;170;200/212;60,0;─;─
426;А12 / АС12;9,8;6;100;122;340;200/212;80,0;90,0;125,0
426;А13 / АС13;18,3;6;100;122;680;200/212;80,0;120,0;170,0
426;Б12 / БС12;11,2;6;100;122;340;200/212;80,0;90,0;125,0
