DN;D;T;D1;T1;F;H;mass;r;Execution
15;21,3;2;21,3;2;25;25;0,19;;1
15;21,3;3,2;21,3;3,2;25;25;0,3;;1
15;21,3;4;21,3;4;25;25;0,38;;1
20;26,9;2;21,3;2;29;29;0,26;;1
20;26,9;3,2;21,3;3,2;29;29;0,42;;1
20;26,9;4;21,3;4;29;29;0,52;;1
20;26,9;2;26,9;2;29;29;0,23;;1
20;26,9;3,2;26,9;3,2;29;29;0,37;;1
20;26,9;4;26,9;4;29;29;0,46;;1
25;33,7;2,3;21,3;2;38;38;0,25;;1
25;33,7;3,2;21,3;3,2;38;38;0,35;;1
25;33,7;4,5;21,3;4;38;38;0,4;;1
25;33,7;2,3;26,9;2;38;38;0,25;;1
25;33,7;3,2;26,9;3,2;38;38;0,35;;1
25;33,7;4,5;26,9;4;38;38;0,4;;1
25;33,7;2,3;33,7;2,3;38;38;0,4;;1
25;33,7;3,2;33,7;3,2;38;38;0,64;;1
25;33,7;4,5;33,7;4,5;38;38;0,8;;1
32;42,4;2,6;21,3;2;48;48;0,79;;1
32;42,4;3,6;21,3;3,2;48;48;1,1;;1
32;42,4;5;21,3;4;48;48;1,5;;1
32;42,4;2,6;26,9;2;48;48;0,79;;1
32;42,4;3,6;26,9;3,2;48;48;1,1;;1
32;42,4;5;26,9;4;48;48;1,5;;1
32;42,4;2,6;33,7;2,3;48;48;0,79;;1
32;42,4;3,6;33,7;3,2;48;48;1,1;;1
32;42,4;5;33,7;4;48;48;1,5;;1
32;42,4;2,6;42,4;2,6;48;48;0,79;;1
32;42,4;3,6;42,4;3,6;48;48;1,1;;1
32;42,4;5;42,4;5;48;48;1,5;;1
40;48,3;2,6;26,9;2;57;57;1;;1
40;48,3;3,6;26,9;3,2;57;57;1,4;;1
40;48,3;5;26,9;4;57;57;2;;1
40;48,3;2,6;33,7;2,3;57;57;1;;1
40;48,3;3,6;33,7;3,2;57;57;1,4;;1
40;48,3;5;33,7;4,5;57;57;2;;1
40;48,3;2,6;42,4;2,6;57;57;1;;1
40;48,3;3,6;42,4;3,6;57;57;1,4;;1
40;48,3;5;42,4;5;57;57;2;;1
40;48,3;2,6;48,3;2,6;57;57;1;;1
