DN;D;T;D1;T1;L;mass;Execution
20;26,9;2,0;21,3;2,0;38;0,05;1
20;26,9;3,2;21,3;3,2;38;0,07;1
20;26,9;4,0;21,3;4,0;38;0,09;1
25;33,7;2,3;21,3;2,0;51;0,09;1
25;33,7;3,2;21,3;3,2;51;0,12;1
25;33,7;4,5;21,3;4,0;51;0,16;1
25;33,7;2,3;26,9;2,0;51;0,09;1
25;33,7;3,2;26,9;3,2;51;0,12;1
25;33,7;4,5;26,9;4,0;51;0,06;1
32;42,4;2,6;21,3;2,0;51;0,13;1
32;42,4;3,6;21,3;3,2;51;0,17;1
32;42,4;5,0;21,3;4,0;51;0,23;1
32;42,4;2,6;26,9;2,0;51;0,13;1
32;42,4;3,6;26,9;3,2;51;0,17;1
32;42,4;5,0;26,9;4,0;51;0,23;1
32;42,4;2,6;33,7;2,3;51;0,13;1
32;42,4;3,6;33,7;3,2;51;0,17;1
32;42,4;5,0;33,7;4,5;51;0,23;1
40;48,3;2,3;26,9;2,0;64;0,19;1
40;48,3;3,6;26,9;3,2;64;0,25;1
40;48,3;5,0;26,9;4,0;64;0,34;1
40;48,3;2,3;33,7;2,3;64;0,19;1
40;48,3;3,6;33,7;3,2;64;0,25;1
40;48,3;5,0;33,7;4,5;64;0,34;1
40;48,3;2,3;42,4;2,6;64;0,19;1
40;48,3;3,6;42,4;3,6;64;0,25;1
40;48,3;5,0;42,4;5,0;64;0,34;1
50;60,3;2,9;33,7;2,3;76;0,31;1
50;60,3;4,0;33,7;3,2;76;0,42;1
50;60,3;5,6;33,7;4,5;76;0,58;1
50;60,3;2,9;42,4;2,6;76;0,31;1
50;60,3;4,0;42,4;3,6;76;0,42;1
50;60,3;5,6;42,4;5,0;76;0,58;1
50;60,3;2,9;48,3;2,6;76;0,31;1
50;60,3;4,0;48,3;3,6;76;0,42;1
50;60,3;5,6;48,3;5,0;76;0,58;1
65;76,1;2,9;42,4;2,6;89;0,47;1
65;76,1;5,0;42,4;3,6;89;0,78;1
65;76,1;7,1;42,4;5,0;89;1,10;1
65;76,1;2,9;48,3;2,6;89;0,47;1
65;76,1;5,0;48,3;3,6;89;0,78;1
65;76,1;7,1;48,3;5,0;89;1,10;1
65;76,1;2,9;60,3;2,9;89;0,47;1
65;76,1;5,0;60,3;4,0;89;0,78;1
65;76,1;7,1;60,3;5,6;89;1,10;1
80;88,9;3,2;48,3;2,6;89;0,60;1
80;88,9;5,6;48,3;3,6;89;1,00;1
80;88,9;8,0;48,3;5,0;89;1,40;1
80;88,9;3,2;60,3;2,9;89;0,60;1
80;88,9;5,6;60,3;4,0;89;1,00;1
80;88,9;8,0;60,3;5,6;89;1,40;1
80;88,9;3,2;76,1;2,9;89;0,60;1
80;88,9;5,6;76,1;5,0;89;1,00;1
80;88,9;8,0;76,1;7,1;89;1,40;1
100;114,3;3,6;60,3;2,9;102;1,00;1
100;114,3;6,3;60,3;4,0;102;1,70;1
100;114,3;8,8;60,3;5,6;102;2,30;1
100;114,3;3,6;76,1;2,9;102;1,00;1
100;114,3;6,3;76,1;5,0;102;1,70;1
100;114,3;8,8;76,1;7,1;102;2,30;1
100;114,3;3,6;88,9;3,2;102;1,00;1
100;114,3;6,3;88,9;5,6;102;1,70;1
100;114,3;8,8;88,9;8,0;102;2,30;1
125;139,7;4,0;76,1;2,9;127;1,70;1
125;139,7;6,3;76,1;5,0;127;2,60;1
125;139,7;10,0;76,1;7,1;127;4,10;1
125;139,7;4,0;88,9;3,2;127;1,70;1
125;139,7;6,3;88,9;5,6;127;2,60;1
125;139,7;10,0;88,9;8,0;127;4,10;1
